Date,Price
2016-11-18,34.55
2016-11-21,33.33
2016-11-22,33.92
2016-11-23,35.23
2016-11-24,35.72
2016-11-25,36.67
2016-11-28,36.48
2016-11-29,36.69
2016-11-30,37.24
2016-12-01,36.75
2016-12-02,36.46
2016-12-05,37.1
2016-12-06,37.54
2016-12-07,36.96
2016-12-08,38.7
2016-12-09,38.63
2016-12-12,38.06
2016-12-13,37.78
2016-12-14,37.48
2016-12-15,37.62
2016-12-16,37.15
2016-12-19,36.82
2016-12-20,36.2
2016-12-21,36.29
2016-12-22,35.19
2016-12-23,35.07
2016-12-26,34.1
2016-12-27,35.21
2016-12-28,34.85
2016-12-29,35.2
2016-12-30,35.1
2017-01-02,36.49
2017-01-03,36.19
2017-01-04,36.38
2017-01-05,37.62
2017-01-06,37.64
2017-01-09,37.86
2017-01-10,38.75
2017-01-11,40.22
2017-01-12,40.16
2017-01-13,40.05
2017-01-16,41.13
2017-01-17,40.76
2017-01-18,42.02
2017-01-19,41.91
2017-01-20,40.78
2017-01-23,41.43
2017-01-24,41.65
2017-01-25,42.13
2017-01-27,42.11
2017-01-30,41.46
2017-01-31,41.55
2017-02-01,42.58
2017-02-02,42.79
2017-02-03,42.42
2017-02-06,42.47
2017-02-07,42.42
2017-02-08,42.23
2017-02-09,41.26
2017-02-10,42.01
2017-02-13,42.4
2017-02-14,42.39
2017-02-15,41.28
2017-02-16,42.17
2017-02-17,42.01
2017-02-20,43.7
2017-02-21,44.05
2017-02-22,43.43
2017-02-23,43.58
2017-02-27,43.12
2017-02-28,43.31
2017-03-01,44.89
2017-03-02,44.38
2017-03-03,44.42
2017-03-06,44.21
2017-03-07,43.25
2017-03-08,42.39
2017-03-09,42.12
2017-03-10,41.97
2017-03-14,42.4
2017-03-15,42.98
2017-03-16,44.83
2017-03-17,45.06
2017-03-20,44.56
2017-03-21,44.54
2017-03-22,43.79
2017-03-23,44.46
2017-03-24,44.25
2017-03-27,42.75
2017-03-28,43.09
2017-03-29,43.46
2017-03-30,42.84
2017-03-31,43.31
2017-04-03,43.59
2017-04-05,44.26
2017-04-06,45.01
2017-04-07,44.25
2017-04-10,44.44
2017-04-11,43.79
2017-04-12,42.83
2017-04-13,41.59
2017-04-17,41.49
2017-04-18,40.37
2017-04-19,40.44
2017-04-20,40.77
2017-04-21,40.45
2017-04-24,40.44
2017-04-25,40.79
2017-04-26,40.72
2017-04-27,40.0
2017-04-28,40.31
2017-05-02,39.93
2017-05-03,39.55
2017-05-04,39.7
2017-05-05,38.9
2017-05-08,38.75
2017-05-09,38.89
2017-05-10,39.25
2017-05-11,39.58
2017-05-12,39.18
2017-05-15,40.92
2017-05-16,40.96
2017-05-17,44.31
2017-05-18,43.63
2017-05-19,43.92
2017-05-22,43.64
2017-05-23,44.0
2017-05-24,43.37
2017-05-25,43.49
2017-05-26,45.92
2017-05-29,45.55
2017-05-30,45.92
2017-05-31,45.28
2017-06-01,44.61
2017-06-02,44.14
2017-06-05,44.08
2017-06-06,43.99
2017-06-07,44.04
2017-06-08,44.77
2017-06-09,45.49
2017-06-12,45.62
2017-06-13,45.63
2017-06-14,45.1
2017-06-15,45.09
2017-06-16,45.04
2017-06-19,46.62
2017-06-20,46.87
2017-06-21,46.45
2017-06-22,46.21
2017-06-23,45.51
2017-06-27,45.84
2017-06-28,46.71
2017-06-29,48.01
2017-06-30,48.97
2017-07-03,49.4
2017-07-04,49.13
2017-07-05,49.34
2017-07-06,49.76
2017-07-07,49.65
2017-07-10,50.19
2017-07-11,49.96
2017-07-12,50.16
2017-07-13,50.6
2017-07-14,50.1
2017-07-17,50.23
2017-07-18,50.54
2017-07-19,51.25
2017-07-20,49.99
2017-07-21,49.64
2017-07-24,49.21
2017-07-25,49.61
2017-07-26,50.76
2017-07-27,50.36
2017-07-28,49.52
2017-07-31,50.88
2017-08-01,51.36
2017-08-02,51.07
2017-08-03,50.18
2017-08-04,51.67
2017-08-07,53.84
2017-08-08,55.31
2017-08-09,54.29
2017-08-10,54.22
2017-08-11,53.54
2017-08-14,55.96
2017-08-16,56.63
2017-08-17,56.11
2017-08-18,56.14
2017-08-21,55.77
2017-08-22,55.59
2017-08-23,56.94
2017-08-24,57.33
2017-08-28,57.05
2017-08-29,56.54
2017-08-30,57.3
2017-08-31,57.25
2017-09-01,58.43
2017-09-04,58.01
2017-09-05,58.51
2017-09-06,58.59
2017-09-07,58.57
2017-09-08,58.8
2017-09-11,59.45
2017-09-12,61.27
2017-09-13,60.98
2017-09-14,60.81
2017-09-15,60.92
2017-09-18,60.37
2017-09-19,60.69
2017-09-20,61.7
2017-09-21,61.65
2017-09-22,58.68
2017-09-25,57.4
2017-09-26,58.69
2017-09-27,58.26
2017-09-28,58.29
2017-09-29,58.55
2017-10-03,59.29
2017-10-04,59.13
2017-10-05,59.31
2017-10-06,62.04
2017-10-09,62.56
2017-10-10,61.98
2017-10-11,61.22
2017-10-12,62.05
2017-10-13,63.78
2017-10-16,64.15
2017-10-17,63.93
2017-10-18,63.67
2017-10-19,63.3
2017-10-23,63.88
2017-10-24,64.54
2017-10-25,64.39
2017-10-26,65.43
2017-10-27,65.21
2017-10-30,64.44
2017-10-31,63.15
2017-11-01,63.46
2017-11-02,63.35
2017-11-03,63.6
2017-11-06,63.42
2017-11-07,62.2
2017-11-08,62.19
2017-11-09,63.11
2017-11-10,63.01
2017-11-13,62.0
2017-11-14,61.51
2017-11-15,60.81
2017-11-16,61.58
2017-11-17,62.91
2017-11-20,63.0
2017-11-21,63.82
2017-11-22,63.8
2017-11-23,63.95
2017-11-24,63.56
2017-11-27,63.03
2017-11-28,63.15
2017-11-29,63.64
2017-11-30,62.28
2017-12-01,61.09
2017-12-04,61.71
2017-12-05,60.63
2017-12-06,59.9
